OBJECTID,NAME10,NAMELSAD10,POPULATION,HOUSING_UN
204,150,Census Tract 150,5371,2139
205,132,Census Tract 132,2697,1048
206,131,Census Tract 131,2602,1062
207,135.03,Census Tract 135.03,7472,2687
208,135.01,Census Tract 135.01,6602,2581
209,118,Census Tract 118,4177,2304
210,112.04,Census Tract 112.04,3309,1456
211,112.03,Census Tract 112.03,4605,2142
212,112.02,Census Tract 112.02,3902,1542
213,112.01,Census Tract 112.01,2246,894
214,111,Census Tract 111,2673,1225
215,151,Census Tract 151,3450,1398
216,162,Census Tract 162,2688,1295
217,161,Census Tract 161,1954,914
218,160,Census Tract 160,2801,1075
