OBJECTID,COUNTYFP10,GEOID10,COUNTY,TRACT,BLOCK,TOTAL_HOUSING_UNITS,OCCUPIED,VACANT,ACRES,SHAPEAREA,SHAPELEN
4161,005,100050514002033,005,051400,2033,12,12,0,2.964309,11996.132413,438.996021
4162,005,100050512041010,005,051204,1010,10,0,10,2.641769,10690.858264,451.768249
4163,005,100050512041003,005,051204,1003,9,0,9,2.586158,10465.809724,450.573033
4164,005,100050513022052,005,051302,2052,7,6,1,32.391344,131083.118529,1853.030017
4165,005,100050514001010,005,051400,1010,0,0,0,2.034438,8233.077998,396.821102
4166,005,100050514001014,005,051400,1014,0,0,0,5.431144,21979.060738,597.997791
4167,005,100050514001110,005,051400,1110,16,11,5,48.189837,195017.352519,2030.452901
4168,005,100050513053037,005,051305,3037,11,11,0,65.092827,263421.324114,2711.386731
4169,005,100050514001087,005,051400,1087,0,0,0,32.365421,130978.210724,1637.680687
4170,005,100050506021006,005,050602,1006,0,0,0,0.68105,2756.111515,321.555469
4171,005,100050507052075,005,050705,2075,27,10,17,22.926327,92779.554208,2907.357546
4172,005,100050507053022,005,050705,3022,7,3,4,3.519696,14243.704529,866.66539
4173,005,100050506021060,005,050602,1060,33,32,1,48.036642,194397.393908,2074.541763
4174,005,100050506021027,005,050602,1027,0,0,0,1.463427,5922.279442,439.905457
4175,005,100050506023061,005,050602,3061,154,140,14,47.617096,192699.552489,2047.219251
4176,005,100050506011030,005,050601,1030,9,7,2,234.934872,950747.694378,5243.836226
4177,005,100050506021048,005,050602,1048,14,14,0,348.645634,1410918.823908,5074.055521
4178,005,100050506011042,005,050601,1042,63,58,5,641.588683,2596417.281449,8446.783898
4179,005,100050506011038,005,050601,1038,0,0,0,5.164493,20899.960262,697.27975
4180,005,100050506011063,005,050601,1063,1,1,0,48.5292,196390.705458,2241.804075
4181,005,100050506011057,005,050601,1057,1,1,0,378.025824,1529816.231889,5571.696425
4182,005,100050507031009,005,050703,1009,5,2,3,5.354241,21667.844253,592.09382
4183,005,100050507041027,005,050704,1027,4,4,0,13.196257,53403.358788,928.58183
4184,005,100050507011008,005,050701,1008,6,5,1,491.130089,1987532.954981,6457.137014
4185,005,100050507051019,005,050705,1019,59,25,34,14.617785,59156.075939,1321.952641
4186,005,100050507011056,005,050701,1056,1,1,0,38.196319,154575.017238,1801.813884
4187,005,100050507052067,005,050705,2067,1,1,0,0.634623,2568.226222,246.391445
4188,005,100050507011051,005,050701,1051,103,76,27,1293.608355,5235047.278744,11879.565799
4189,005,100050508031031,005,050803,1031,0,0,0,359.815685,1456122.415779,4966.75179
4190,005,100050508021076,005,050802,1076,74,69,5,862.779462,3491544.608386,11420.506917
4191,005,100050508021073,005,050802,1073,7,7,0,861.357375,3485789.626274,8770.421522
4192,005,100050507012005,005,050701,2005,26,25,1,1278.545377,5174089.569136,10023.614768
4193,005,100050507062028,005,050706,2028,11,5,6,5.257377,21275.848805,630.841136
4194,005,100050507062063,005,050706,2063,0,0,0,9.515918,38509.555684,971.263883
4195,005,100050507062015,005,050706,2015,25,10,15,11.940851,48322.91029,1217.169267
4196,005,100050506011035,005,050601,1035,0,0,0,1.551672,6279.394163,489.870927
4197,005,100050507051047,005,050705,1047,0,0,0,31.936267,129241.48801,1451.0558
4198,005,100050506022050,005,050602,2050,6,4,2,3.383511,13692.582033,543.931195
4199,005,100050506021075,005,050602,1075,36,28,8,42.160408,170617.117719,2152.840903
4200,005,100050507051046,005,050705,1046,0,0,0,1.203794,4871.581008,345.907435
4201,005,100050507054008,005,050705,4008,0,0,0,7.221399,29223.96537,1441.083846
4202,005,100050514001091,005,051400,1091,2,2,0,8.53414,34536.440899,771.159666
4203,005,100050514001105,005,051400,1105,13,12,1,17.241555,69774.096038,1479.180246
4204,005,100050514002001,005,051400,2001,0,0,0,2.817158,11400.631952,416.692478
4205,005,100050513012030,005,051301,2030,0,0,0,3.383861,13693.998504,622.41744
4206,005,100050512012019,005,051201,2019,110,13,97,22.303516,90259.127724,1262.820244
4207,005,100050512011075,005,051201,1075,0,0,0,16.833719,68123.645196,1032.134602
4208,005,100050512011047,005,051201,1047,24,1,23,8.953228,36232.42696,762.833785
4209,005,100050512011048,005,051201,1048,21,2,19,7.680491,31081.843817,704.99513
4210,005,100050513013049,005,051301,3049,8,1,7,4.561477,18459.641577,569.86774
4211,005,100050513013060,005,051301,3060,8,1,7,5.360227,21692.070916,624.778168
4212,005,100050513032004,005,051303,2004,17,8,9,15.936318,64491.992776,1031.345323
4213,005,100050513032029,005,051303,2029,16,10,6,13.040595,52773.416001,934.367858
4214,005,100050512022023,005,051202,2023,21,2,19,6.794278,27495.46704,686.795011
4215,005,100050513032030,005,051303,2030,64,40,24,93.382909,377907.224474,2534.060646
4216,005,100050512022026,005,051202,2026,2,1,1,0.536106,2169.545185,476.271944
4217,005,100050503012020,005,050301,2020,16,16,0,2030.80856,8218390.663385,14431.902207
